Transaction ID	Type	Posting	Currency	Item Name	Debit Amount	Debit Account	Credit Amount	Credit Account
140514	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1672.64	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140514	workordercompletion	true	Unknown	Man hour cost DK	1672.64	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99628	workorderissue	true	Unknown	RFVR200	0.00	N/A	6015.60	83100 TOTAL INVENTORIES : Inventory increase
99628	workorderissue	true	Unknown	RFVR200	6015.60	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99794	workorderissue	true	Unknown	RAVB20004000-30	0.00	N/A	2224.93	83100 TOTAL INVENTORIES : Inventory increase
99794	workorderissue	true	Unknown	RAVB20004000-30	2224.93	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
140775	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1287.50	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140775	workordercompletion	true	Unknown	Man hour cost DK	1287.50	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99806	workorderissue	true	Unknown	RAVB20004000-30	0.00	N/A	741.64	83100 TOTAL INVENTORIES : Inventory increase
99806	workorderissue	true	Unknown	RAVB20004000-30	741.64	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
99908	workorderissue	true	Unknown	RAVB20004000-10	0.00	N/A	2544.86	83100 TOTAL INVENTORIES : Inventory increase
99908	workorderissue	true	Unknown	RAVB20004000-10	2544.86	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
140981	workordercompletion	true	Unknown	Man hour cost DK	0.00	N/A	1206.25	20890 TOTAL PRODUCTION COSTS : TOTAL DIRECT PRODUCTION COSTS : Direct Labor (overføres til varer i arbejde)
140981	workordercompletion	true	Unknown	Man hour cost DK	1206.25	83250 TOTAL INVENTORIES : Products being manufactured	0.00	N/A
